Classifier,CV_Mean,CV_Std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
Random Forest (50 trees),0.5079545454545455,0.02556186790727725,0.4909090909090909,0.4918921356421357,0.4909090909090909,0.49103532222798274,0.48506289308176104
Random Forest (100 trees),0.509090909090909,0.020200441857535435,0.4636363636363636,0.464864132887966,0.4636363636363636,0.4636363636363636,0.46673286991062557
Bagged Trees (10),0.509090909090909,0.04961109080214336,0.44545454545454544,0.44735807927297294,0.44545454545454544,0.44269652761032074,0.44596160211850383
Bagged Trees (50),0.48409090909090907,0.02339915941133409,0.5045454545454545,0.5050402362328968,0.5045454545454545,0.5046990838618746,0.4784839457133399
AdaBoost (10),0.49204545454545456,0.04380530742590088,0.4772727272727273,0.4751043062200957,0.4772727272727273,0.4749985333885915,0.49437272426348894
AdaBoost (50),0.48068181818181815,0.03513551098577343,0.4818181818181818,0.4799242424242424,0.4818181818181818,0.4798780718407975,0.513157894736842
